step_idx,timestamp,dt,heading_change_rad,heading_rad,step_length_m,x_m,y_m,var_x,var_y,neff,map_probability,walkable
0,4.261457,0.02664,0.0,-1.8325957145940461,0.47,4.8242118478405835,5.718134453365165,0.034663082226129585,0.021211941329992007,9.0,0.00025354950090332234,1.0
1,4.924114,0.026578,0.0,-1.8325957145940461,0.47,4.78422831571098,5.2992697428541256,0.05743068734910637,0.029790517393007355,25.0,0.0002530148315758694,1.0
2,5.620085,0.026545,0.0,-1.8325957145940461,0.47,4.6856819899564135,4.885740076910372,0.05319076356374022,0.03318743639483718,40.0,0.0002521736656115319,1.0
3,6.264224,0.026531,0.0,-1.8325957145940461,0.47,4.569034388181762,4.471477985246569,0.04843465866690501,0.03800604506844559,48.0,0.000249249640508423,1.0
4,6.959108,0.02658,0.0,-1.8325957145940461,0.47,4.487722669976599,4.052440539178235,0.05098549376618337,0.04057018567321096,55.0,0.00025353272913502536,1.0
5,7.708126,0.026509,0.0,-1.8325957145940461,0.47,4.444783357196221,3.6354837559172166,0.052824584133107706,0.04377814627638654,59.0,0.00025354969573988654,1.0
6,8.315794,0.033539,0.0,-1.8325957145940461,0.47,4.427054914140761,3.214501390570489,0.05134009621680945,0.04446304809492013,63.0,0.00025354969573988654,1.0
7,9.073798,0.036712,0.0,-1.8325957145940461,0.47,4.409449191681605,2.788854455679814,0.05355315205437017,0.044636168244677685,66.0,0.00025354969573988654,1.0
